Word,Score
adjectives,0
complicated,0
developing countries,0
notable absentees,0
rich supplies,1
critical minerals,0
uneven nature,0
asymmetric loans,0
transparent process,1
crippling financial crisis,-1
sustainable debt management,1
impoverished countries,-1
independent study,1
positive outcome,1
protracted debt overhauls,-1
vastly different,0
divergent foreign policy goals,0
high risk,0
essential to building consensus,1
greater equality,1
battered by extreme weather,-1
transcendental role,1
dignified lives,1
powerful,1
open,1
diverse,1
flexible,1
major,0
comprehensive,0
strategic,1
robust,1
shrinking,-1
dwindling,-1
key,0
rapidly aging,-1
sustainable,1
criticized,-1
alternative,1
adverse,-1
cheap,-1
fashionable,0
fleeting,-1
wealthy,1
poor,-1
high quality,1
increasing,0
detrimental,-1
fast in fast fashion,0
unique,1
verbs,0
depends upon,0
considered,0
host a summit,0
use different criteria,0
gain traction,0
speculated,0
fret about,0
promote interests,0
highlight,1
call for an end,0
struggle to repay,-1
review,0
mobilize funds,1
approved,1
marked,0
showed,1
secured,1
curb risks,0
looking for a sustainable level,0
pushing,0
agree on mechanisms,0
adopted,0
strengthen,1
address issues,0
killing each other,-1
pressing for fair treatment,1
vowed,1
welcomed,1
help,1
strengthening,1
inject,1
spearhead,1
engaging,1
praise,1
gloss over,-1
accuse,-1
promote,0
enjoy,0
scavenges,-1
boomed,0
aims,0
accelerated,1
consumed,0
donate,0
discard,0
undermine,-1
phase out,-1
expelled,-1
contribute,1
blame,0
reform,1
adverbs,0
commonly,1
simply,0
not regularly used,0
first and foremost,1
often,1
currently,0
significantly delayed,0
most likely represent a strategy,-1
publicly expressed support,1
now includes,0
already,1
further,1
rapidly,0
continually,1
effectively,1
ultimately,1
also,1
expectedly,-1
tremendously,-1
certainly,0
eventually,0
not necessarily,0
nouns,0
term,0
coalition,0
countries,0
definition,0
criteria,0
population,0
influence,0
agenda,0
issues,0
crisis,0
negotiations,0
transparency,1
development,1
infrastructure,1
loans,0
increase,0
study,1
economies,0
cash,0
projects,0
burdens,-1
finance,0
disparities,-1
climate change,0
technology,0
summit,0
ambition,0
vision,1
cooperation,1
investment,1
initiative,1
relations,0
opportunities,1
pressure,-1
security,0
contributions,1
participation,1
ideologies,0
principles,0
gaps,0
practices,0
criticism,-1
consequences,-1
overconsumption,-1
consumption,0
quality,0
resistance,-1
vulnerability,-1
power dynamics,-1
colonial histories,-1
responsibility,0
solutions,1
mindset,0
market demands,0
